trial,spike_time_s
10,10.246833
10,10.2529
10,10.262167
10,10.271433
10,10.2767
10,10.2967
10,10.3515
10,10.487067
10,10.5108
10,10.516067
10,10.5342
10,10.6843
10,10.759667
10,10.777233
10,10.783733
10,10.800867
10,10.863667
10,10.868833
10,10.8748
10,10.881033
10,10.9339
10,10.952
10,10.9561
10,10.962567
10,11.067033
10,11.0737
10,11.0803
10,11.152567
10,11.198267
10,11.204533
10,11.463867
10,11.511233
10,11.526367
10,11.5629
10,11.571067
10,11.6238
10,11.6326
10,11.6368
10,11.648033
10,11.653333
10,11.6672
10,11.766133
10,11.772733
10,11.784
10,11.858167
10,11.8635
10,12.0504
10,12.360867
10,12.367767
10,12.373233
10,12.378467
10,12.451
10,12.4555
10,12.461267
10,12.468467
10,14.5236
10,14.529167
10,14.5339
10,14.839033
10,14.845333
11,0.624767
11,0.845167
11,0.8569
11,1.547467
11,1.559967
11,1.5655
11,3.063567
11,3.0782
11,3.345333
11,3.404133
11,3.4243
11,3.43
11,3.5882
11,3.593733
11,3.610233
11,3.677333
11,3.681933
11,3.691867
11,3.859833
11,3.9924
11,4.0566
11,4.0623
11,4.129267
11,4.178867
11,4.185933
11,4.195367
11,4.2042
11,4.240867
11,4.251233
11,4.259133
11,4.264933
11,4.2772
11,4.2828
11,4.286967
11,4.2931
11,4.386833
11,4.390667
11,4.450433
11,4.460733
11,4.465933
11,4.535367
11,4.5441
11,4.567867
11,4.7572
11,4.767867
11,4.7722
11,4.862967
11,4.881467
11,4.888667
11,4.922767
11,4.939567
11,4.9474
11,4.9837
11,5.064633
11,5.072333
11,5.076533
11,5.1517
11,5.1558
11,5.1605
11,5.299433
11,5.305967
11,5.510967
11,5.527967
11,5.533167
11,5.642933
11,5.647567
11,5.650567
11,5.6566
11,5.6664
11,5.676667
11,5.685833
11,5.8574
11,5.864233
11,5.875033
11,6.005633
11,7.5203
11,7.788367
11,8.506867
11,8.515733
11,8.519333
11,8.5233
11,8.5293
11,8.947133
11,8.953867
11,8.9592
11,8.9654
11,9.048933
11,9.082967
11,9.095767
11,9.126533
11,9.132967
11,9.344367
11,9.395267
11,9.401267
11,9.406533
11,9.4195
11,9.600433
11,9.630533
11,9.677467
11,9.686133
11,9.6936
11,9.827333
11,10.0124
11,10.015967
11,10.022333
11,10.082167
11,10.120767
11,10.127967
11,10.1329
11,10.137267
11,10.2027
11,10.2071
11,10.2124
11,10.252567
11,10.258167
11,10.279533
11,10.344767
11,10.392067
11,10.4435
11,10.4632
11,10.468333
11,10.481667
11,10.4881
11,10.527567
11,10.542067
11,10.779667
11,10.786233
11,10.792033
11,10.8108
11,10.876667
11,10.917333
11,10.923333
11,10.9321
11,10.935933
11,10.9422
11,10.956433
11,11.0419
11,11.046767
11,11.060733
11,11.065533
11,11.0739
11,11.1668
11,11.171667
11,11.4583
11,11.463133
11,11.507967
11,11.5118
11,11.5194
11,11.5626
